SNR,window,p,MD_x,FAR_x
0.0,50,0.5,0.0004,0.243
0.0,50,0.5,0.0015,0.2346
0.0,50,0.5,0.0006,0.3473
0.0,50,0.5,0.0009,0.3603
0.0,50,0.5,0.0008,0.3072
0.0,50,0.5,0.0007,0.3746
0.0,50,0.5,0.0009,0.376
0.0,50,0.5,0.0009,0.3403
0.0,50,0.5,0.0019,0.3819
0.0,50,0.5,0.0007,0.3667
0.0,50,0.5,0.0009,0.2995
0.0,50,0.5,0.0007,0.3479
0.0,50,0.5,0.0013,0.362
0.0,50,0.5,0.0009,0.4099
0.0,50,0.5,0.0015,0.3314
0.0,50,0.5,0.001,0.3328
0.0,50,0.5,0.0011,0.4077
0.0,50,0.5,0.0012,0.298
0.0,50,0.5,0.001,0.3373
0.0,50,0.5,0.0006,0.3265
0.0,50,0.5,0.0011,0.3948
0.0,50,0.5,0.0014,0.3608
0.0,50,0.5,0.0014,0.3716
0.0,50,0.5,0.0012,0.3187
0.0,50,0.5,0.0014,0.4013
0.0,50,0.5,0.0006,0.3485
0.0,50,0.5,0.001,0.3642
0.0,50,0.5,0.0008,0.3224
0.0,50,0.5,0.0007,0.3488
0.0,50,0.5,0.0012,0.3909
0.0,50,0.5,0.0013,0.3704
0.0,50,0.5,0.0013,0.3228
0.0,50,0.5,0.0018,0.3367
0.0,50,0.5,0.0012,0.451
0.0,50,0.5,0.0008,0.3272
0.0,50,0.5,0.0016,0.3748
0.0,50,0.5,0.0004,0.3387
0.0,50,0.5,0.0007,0.3144
0.0,50,0.5,0.0005,0.3778
0.0,50,0.5,0.0009,0.3116
0.0,50,0.5,0.0007,0.3608
0.0,50,0.5,0.0008,0.3278
0.0,50,0.5,0.0012,0.3408
0.0,50,0.5,0.0008,0.399
0.0,50,0.5,0.0012,0.3086
0.0,50,0.5,0.0008,0.3621
0.0,50,0.5,0.0009,0.3216
0.0,50,0.5,0.0015,0.3234
0.0,50,0.5,0.001,0.338
0.0,50,0.5,0.001,0.3507
0.0,50,0.5,0.001,0.3385
0.0,50,0.5,0.0009,0.3674
0.0,50,0.5,0.0009,0.3049
0.0,50,0.5,0.0023,0.3039
0.0,50,0.5,0.0011,0.2649
0.0,50,0.5,0.0009,0.3043
0.0,50,0.5,0.0002,0.3042
0.0,50,0.5,0.0009,0.2927
0.0,50,0.5,0.0011,0.3289
0.0,50,0.5,0.0017,0.3376
0.0,50,0.5,0.002,0.3244
0.0,50,0.5,0.001,0.3575
0.0,50,0.5,0.0005,0.3947
0.0,50,0.5,0.001,0.4165
0.0,50,0.5,0.0011,0.3434
0.0,50,0.5,0.0021,0.3396
0.0,50,0.5,0.0006,0.2951
0.0,50,0.5,0.0007,0.3491
0.0,50,0.5,0.0017,0.345
0.0,50,0.5,0.0015,0.389
0.0,50,0.5,0.0016,0.374
0.0,50,0.5,0.0011,0.2827
0.0,50,0.5,0.0011,0.3438
0.0,50,0.5,0.0008,0.296
0.0,50,0.5,0.0006,0.3062
0.0,50,0.5,0.0014,0.36
0.0,50,0.5,0.0006,0.4303
0.0,50,0.5,0.0019,0.4171
0.0,50,0.5,0.0008,0.3438
0.0,50,0.5,0.0003,0.3533
0.0,50,0.5,0.0016,0.33
0.0,50,0.5,0.0008,0.3168
0.0,50,0.5,0.0011,0.2762
0.0,50,0.5,0.0016,0.381
0.0,50,0.5,0.0014,0.3542
0.0,50,0.5,0.0006,0.4041
0.0,50,0.5,0.001,0.3026
0.0,50,0.5,0.0008,0.3048
0.0,50,0.5,0.0006,0.2641
0.0,50,0.5,0.0009,0.3963
0.0,50,0.5,0.001,0.2614
0.0,50,0.5,0.0013,0.3221
0.0,50,0.5,0.0009,0.3617
0.0,50,0.5,0.0008,0.3224
0.0,50,0.5,0.0009,0.3174
0.0,50,0.5,0.0008,0.3433
0.0,50,0.5,0.0011,0.3265
0.0,50,0.5,0.0006,0.2591
0.0,50,0.5,0.001,0.3056
0.0,50,0.5,0.0006,0.3744
0.0,50,0.5,0.0006,0.3997
0.0,50,0.5,0.0004,0.417
0.0,50,0.5,0.0014,0.3615
0.0,50,0.5,0.0013,0.3145
0.0,50,0.5,0.0004,0.3166
0.0,50,0.5,0.0015,0.2965
0.0,50,0.5,0.0014,0.3163
0.0,50,0.5,0.0016,0.3294
0.0,50,0.5,0.0006,0.2816
0.0,50,0.5,0.0012,0.3598
0.0,50,0.5,0.0006,0.3164
0.0,50,0.5,0.0008,0.4047
0.0,50,0.5,0.0009,0.3129
0.0,50,0.5,0.0008,0.3644
0.0,50,0.5,0.0018,0.4196
0.0,50,0.5,0.0004,0.3062
0.0,50,0.5,0.0009,0.3208
0.0,50,0.5,0.0012,0.3542
0.0,50,0.5,0.0013,0.3636
